Name,Event,OlypQualTime,OlypRecord,Final,Heat,Semi,AvgTime,RelTime_OQT,RelTime_ORT,Podium,RelTime_OQT_LR
NDOYE-BROUARD Yohann,Men's 100m Backstroke,3241,3145,NA,3193,NA,3193,0.015032884,-0.015032884,0,1
CHRISTOU Apostolos,Men's 100m Backstroke,3241,3145,NA,3257,3221,3239,0.000617475,-0.029021303,0,1
THORMEYER Markus,Men's 100m Backstroke,3241,3145,NA,3260,NA,3260,-0.005828221,-0.035276074,0,0
PRATT Cole,Men's 100m Backstroke,3241,3145,NA,3267,NA,3267,-0.007958372,-0.037343128,0,0
PEATY Adam,Men's 100m Breaststroke,3619,3433,3457,3476,3483,3472,0.04233871,-0.011232719,1,1
KAMMINGA Arno,Men's 100m Breaststroke,3619,3433,3480,3500,3499,3493,0.036072144,-0.017177212,1,1
MARTINENGHI Nicolo,Men's 100m Breaststroke,3619,3433,3513,3548,3508,3523,0.027249503,-0.025546409,1,1
ANDREW Michael,Men's 100m Breaststroke,3619,3433,3564,3542,3579,3561.666667,0.016097333,-0.036125409,0,1
WILBY James,Men's 100m Breaststroke,3619,3433,3576,3579,3540,3565,0.015147265,-0.037026648,0,1
YAN Zibei,Men's 100m Breaststroke,3619,3433,3579,3555,3552,3562,0.016002246,-0.036215609,0,1
WILSON Andrew,Men's 100m Breaststroke,3619,3433,3579,3543,3558,3560,0.016573034,-0.035674157,0,1
SHYMANOVICH Ilya,Men's 100m Breaststroke,3619,3433,3576,3573,3548,3565.666667,0.014957465,-0.037206693,0,1
MASEI Micah,Men's 100m Breaststroke,3619,3433,NA,3933,NA,3933,-0.079837274,-0.127129418,0,0
AHMAD Muhammad Isa,Men's 100m Breaststroke,3619,3433,NA,4145,NA,4145,-0.126899879,-0.171773221,0,0
DESPLANCHES Jeremy,Men's 100m Breaststroke,3619,3433,NA,3629,NA,3629,-0.00275558,-0.054009369,0,0
AL-WIR Amro,Men's 100m Breaststroke,3619,3433,NA,3737,NA,3737,-0.031576131,-0.081348675,0,0
SANES Adriel,Men's 100m Breaststroke,3619,3433,NA,3763,NA,3763,-0.03826734,-0.087695987,0,0
HORREGO Julio,Men's 100m Breaststroke,3619,3433,NA,3765,NA,3765,-0.03877822,-0.088180611,0,0
KOUMA Sebastien,Men's 100m Breaststroke,3619,3433,NA,3804,NA,3804,-0.048633018,-0.097528917,0,0
ABASS Abobakr,Men's 100m Breaststroke,3619,3433,NA,3886,NA,3886,-0.068708183,-0.116572311,0,0
MATTSSON Matti,Men's 100m Breaststroke,3619,3433,NA,3602,NA,3602,0.0047196,-0.046918379,0,1
REITSHAMMER Bernhard,Men's 100m Breaststroke,3619,3433,NA,3641,NA,3641,-0.006042296,-0.057127163,0,0
MURILLO VALDES Jorge,Men's 100m Breaststroke,3619,3433,NA,3662,NA,3662,-0.011742217,-0.062534134,0,0
EPITROPOV Lyubomir,Men's 100m Breaststroke,3619,3433,NA,3671,NA,3671,-0.014165078,-0.064832471,0,0
GRINDHEIM Andre Klippenberg,Men's 100m Breaststroke,3619,3433,NA,3686,NA,3686,-0.018176886,-0.06863809,0,0
MASTROMATTEO Gabe,Men's 100m Breaststroke,3619,3433,NA,3716,NA,3716,-0.026103337,-0.076157158,0,0
DOMINGUEZ RAMOS Josue,Men's 100m Breaststroke,3619,3433,NA,3746,NA,3746,-0.03390283,-0.083555793,0,0
BASTIAN Izaak,Men's 100m Breaststroke,3619,3433,NA,3747,NA,3747,-0.034160662,-0.083800374,0,0
CHO Sungjae,Men's 100m Breaststroke,3619,3433,NA,3639,NA,3639,-0.005496015,-0.056608959,0,0
STUBBLETY-COOK Izaac,Men's 100m Breaststroke,3619,3433,NA,3605,NA,3605,0.003883495,-0.047711512,0,1
PETRASHOV Denis,Men's 100m Breaststroke,3619,3433,NA,3623,NA,3623,-0.001104057,-0.052442727,0,0
GREENE Darragh,Men's 100m Breaststroke,3619,3433,NA,3630,NA,3630,-0.003030303,-0.054269972,0,0
BUSSIERE Theo,Men's 100m Breaststroke,3619,3433,NA,3675,NA,3675,-0.015238095,-0.06585034,0,0
PUMPUTIS Caio,Men's 100m Breaststroke,3619,3433,NA,3676,NA,3676,-0.015505985,-0.066104461,0,0
TITENIS Giedrius,Men's 100m Breaststroke,3619,3433,NA,3692,NA,3692,-0.019772481,-0.070151679,0,0
HOULIE Michael,Men's 100m Breaststroke,3619,3433,NA,3682,NA,3682,-0.017110266,-0.06762629,0,0
MATZERATH Lucas Joachim,Men's 100m Breaststroke,3619,3433,NA,3580,3571,3575.5,0.012166131,-0.039854566,0,1
SIDLAUSKAS Andrius,Men's 100m Breaststroke,3619,3433,NA,3586,3622,3604,0.004162042,-0.047447281,0,1
CHUPKOV Anton,Men's 100m Breaststroke,3619,3433,NA,3595,3633,3614,0.001383509,-0.050083011,0,1
BALANDIN Dmitriy,Men's 100m Breaststroke,3619,3433,NA,3615,NA,3615,0.001106501,-0.050345781,0,1
CORBEAU Caspar,Men's 100m Breaststroke,3619,3433,NA,3613,NA,3613,0.00166067,-0.049820094,0,1
MURA Ryuya,Men's 100m Breaststroke,3619,3433,NA,3580,3622,3601,0.004998611,-0.046653707,0,1
SCHWINGENSCHLOGL Fabian,Men's 100m Breaststroke,3619,3433,NA,3589,3572,3580.5,0.010752688,-0.041195364,0,1
OGRETIR Berkay,Men's 100m Breaststroke,3619,3433,NA,3622,NA,3622,-0.000828272,-0.052181115,0,0
WILSON Matthew,Men's 100m Breaststroke,3619,3433,NA,3603,NA,3603,0.004440744,-0.047182903,0,1
SILADI Caba,Men's 100m Breaststroke,3619,3433,NA,3619,NA,3619,0,-0.051395413,0,0
LIMA Felipe,Men's 100m Breaststroke,3619,3433,NA,3557,3620,3588.5,0.008499373,-0.043332869,0,1
POGGIO Federico,Men's 100m Breaststroke,3619,3433,NA,3573,3631,3602,0.0047196,-0.046918379,0,1
PRIGODA Kirill,Men's 100m Breaststroke,3619,3433,NA,3608,3584,3596,0.006395996,-0.045328142,0,1
SAKCI Huseyin,Men's 100m Breaststroke,3619,3433,NA,3627,NA,3627,-0.00220568,-0.053487731,0,0
SATO Shoma,Men's 100m Breaststroke,3619,3433,NA,3604,NA,3604,0.004162042,-0.047447281,0,1
DRESSEL Caeleb,Men's 100m Butterfly,3153,2985,2985,3039,3011,3011.666667,0.046928611,-0.008854455,1,1
MILAK Kristof,Men's 100m Butterfly,3153,2985,3008,3062,3031,3033.666667,0.039336337,-0.016042193,1,1
PONTI Noe,Men's 100m Butterfly,3153,2985,3074,3084,3076,3078,0.024366472,-0.030214425,1,1
MINAKOV Andrei,Men's 100m Butterfly,3153,2985,3088,3060,3071,3073,0.026033192,-0.028636512,0,1
MAJERSKI Jakub,Men's 100m Butterfly,3153,2985,3092,3097,3084,3091,0.020058234,-0.034293109,0,1
TEMPLE Matthew,Men's 100m Butterfly,3153,2985,3092,3099,3072,3087.666667,0.021159452,-0.033250567,0,1
MARTINEZ Luis Carlos,Men's 100m Butterfly,3153,2985,3069,3089,3090,3082.666667,0.022815744,-0.031682526,0,1
MILADINOV Josif,Men's 100m Butterfly,3153,2985,3109,3088,3066,3087.666667,0.021159452,-0.033250567,0,1
GORDO Salvador,Men's 100m Butterfly,3153,2985,NA,3396,NA,3396,-0.07155477,-0.121024735,0,0
BU ARISH Yousif,Men's 100m Butterfly,3153,2985,NA,3389,NA,3389,-0.069637061,-0.119209206,0,0
JACKSON Abeku,Men's 100m Butterfly,3153,2985,NA,3219,NA,3219,-0.020503262,-0.072693383,0,0
PRAKASH Sajan,Men's 100m Butterfly,3153,2985,NA,3225,NA,3225,-0.022325581,-0.074418605,0,0
MOON Seungwoo,Men's 100m Butterfly,3153,2985,NA,3239,NA,3239,-0.026551405,-0.078419265,0,0
QALI Abbas,Men's 100m Butterfly,3153,2985,NA,3242,NA,3242,-0.02745219,-0.079272054,0,0
AIMABLE Steven,Men's 100m Butterfly,3153,2985,NA,3244,NA,3244,-0.028051788,-0.079839704,0,0
WONGCHAROEN Navaphat,Men's 100m Butterfly,3153,2985,NA,3276,NA,3276,-0.037545788,-0.088827839,0,0
HOCKIN Benjamin,Men's 100m Butterfly,3153,2985,NA,3321,NA,3321,-0.050587173,-0.101174345,0,0
VINCENT Davidson,Men's 100m Butterfly,3153,2985,NA,3321,NA,3321,-0.050587173,-0.101174345,0,0
HVAS Tomoe,Men's 100m Butterfly,3153,2985,NA,3142,NA,3142,0.003500955,-0.049968173,0,1
CARTER Dylan,Men's 100m Butterfly,3153,2985,NA,3156,NA,3156,-0.00095057,-0.05418251,0,0
WANG Kuan-Hung,Men's 100m Butterfly,3153,2985,NA,3164,NA,3164,-0.003476612,-0.056573957,0,0
RYAN Shane,Men's 100m Butterfly,3153,2985,NA,3172,NA,3172,-0.005989912,-0.058953342,0,0
MILJENIC Nikola,Men's 100m Butterfly,3153,2985,NA,3188,NA,3188,-0.01097867,-0.063676286,0,0
ZIRK Kregor,Men's 100m Butterfly,3153,2985,NA,3202,NA,3202,-0.015302936,-0.067770144,0,0
MARTIN Daniel,Men's 100m Butterfly,3153,2985,NA,3309,NA,3309,-0.047144152,-0.097914778,0,0
GRASSI Santiago,Men's 100m Butterfly,3153,2985,NA,3127,NA,3127,0.008314679,-0.045410937,0,1
CROENEN Louis,Men's 100m Butterfly,3153,2985,NA,3143,NA,3143,0.003181674,-0.050270442,0,1
IVANOV Antani,Men's 100m Butterfly,3153,2985,NA,3145,NA,3145,0.00254372,-0.050874404,0,1
QUAH Zheng Wen,Men's 100m Butterfly,3153,2985,NA,3159,NA,3159,-0.001899335,-0.055080722,0,0
GURES Umit Can,Men's 100m Butterfly,3153,2985,NA,3164,NA,3164,-0.003476612,-0.056573957,0,0
SEFL Jan,Men's 100m Butterfly,3153,2985,NA,3172,NA,3172,-0.005989912,-0.058953342,0,0
GONCHE Matheus,Men's 100m Butterfly,3153,2985,NA,3182,NA,3182,-0.009113765,-0.061910748,0,0
KORSTANJE Nyls,Men's 100m Butterfly,3153,2985,NA,3114,3140,3127,0.008314679,-0.045410937,0,1
RAMADAN Youssef,Men's 100m Butterfly,3153,2985,NA,3127,3147,3137,0.005100414,-0.048453937,0,1
SUN Jiajun,Men's 100m Butterfly,3153,2985,NA,3134,3142,3138,0.004780115,-0.04875717,0,1
FRANKEL Tomer,Men's 100m Butterfly,3153,2985,NA,3159,NA,3159,-0.001899335,-0.055080722,0,0
SATES Matthew,Men's 100m Butterfly,3153,2985,NA,3154,NA,3154,-0.000317058,-0.053582752,0,0
BUCHER Simon,Men's 100m Butterfly,3153,2985,NA,3172,NA,3172,-0.005989912,-0.058953342,0,0
TSURKIN Yauhen,Men's 100m Butterfly,3153,2985,NA,3210,NA,3210,-0.017757009,-0.070093458,0,0
SCHOOLING Joseph,Men's 100m Butterfly,3153,2985,NA,3192,NA,3192,-0.012218045,-0.064849624,0,0
MIZUNUMA Naoki,Men's 100m Butterfly,3153,2985,NA,3117,3106,3111.5,0.013337619,-0.040655632,0,1
BURDISSO Federico,Men's 100m Butterfly,3153,2985,NA,3142,NA,3142,0.003500955,-0.049968173,0,1
le CLOS Chad,Men's 100m Butterfly,3153,2985,NA,3149,NA,3149,0.001270245,-0.052080025,0,1
KORZENIOWSKI Pawel,Men's 100m Butterfly,3153,2985,NA,3120,NA,3120,0.010576923,-0.043269231,0,1
CONDORELLI Santo,Men's 100m Butterfly,3153,2985,NA,3152,NA,3152,0.000317259,-0.052982234,0,1
LIENDO EDWARDS Joshua,Men's 100m Butterfly,3153,2985,NA,3112,3110,3111,0.013500482,-0.040501446,0,1
METELLA Mehdy,Men's 100m Butterfly,3153,2985,NA,3113,3092,3102.5,0.016277196,-0.037872683,0,1
SZABO Szebasztian,Men's 100m Butterfly,3153,2985,NA,3127,3149,3138,0.004780115,-0.04875717,0,1
KAWAMOTO Takeshi,Men's 100m Butterfly,3153,2985,NA,3153,NA,3153,0,-0.053282588,0,0
KUSCH Marius,Men's 100m Butterfly,3153,2985,NA,3125,NA,3125,0.00896,-0.0448,0,1
LANZA Vinicius,Men's 100m Butterfly,3153,2985,NA,3128,NA,3128,0.007992327,-0.045716113,0,1
SHIELDS Tom,Men's 100m Butterfly,3153,2985,NA,3117,3159,3138,0.004780115,-0.04875717,0,1
VEKOVISHCHEV Mikhail,Men's 100m Butterfly,3153,2985,NA,3149,NA,3149,0.001270245,-0.052080025,0,1
PETERS Jacob Thomas Taylor,Men's 100m Butterfly,3153,2985,NA,3127,NA,3127,0.008314679,-0.045410937,0,1
MORGAN David,Men's 100m Butterfly,3153,2985,NA,3151,NA,3151,0.000634719,-0.052681688,0,1
DRESSEL Caeleb,Men's 100m Freestyle,2938,2822,2822,2893,2843,2852.666667,0.029913531,-0.010750175,1,1
CHALMERS Kyle,Men's 100m Freestyle,2938,2822,2828,2897,2900,2875,0.021913043,-0.018434783,1,1
KOLESNIKOV Kliment,Men's 100m Freestyle,2938,2822,2864,2909,2831,2868,0.024407252,-0.016039052,1,1
GROUSSET Maxime,Men's 100m Freestyle,2938,2822,2892,2905,2902,2899.666667,0.01321991,-0.026784688,0,1
HWANG Sunwoo,Men's 100m Freestyle,2938,2822,2902,2917,2876,2898.333333,0.013686026,-0.026336975,0,1
MIRESSI Alessandro,Men's 100m Freestyle,2938,2822,2906,2903,2872,2893.666667,0.015320816,-0.024766732,0,1
POPOVICI David,Men's 100m Freestyle,2938,2822,2884,2883,2892,2886.333333,0.01790045,-0.022288948,0,1
NEMETH Nandor,Men's 100m Freestyle,2938,2822,2890,2891,2901,2894,0.01520387,-0.02487906,0,1
SHAH Alexander,Men's 100m Freestyle,2938,2822,NA,3221,NA,3221,-0.087860913,-0.123874573,0,0
KONDIROLLI Olt,Men's 100m Freestyle,2938,2822,NA,3273,NA,3273,-0.102352582,-0.137794073,0,0
AL BAWWAB Yazan,Men's 100m Freestyle,2938,2822,NA,3291,NA,3291,-0.10726223,-0.142509875,0,0
FOWLER Andrew,Men's 100m Freestyle,2938,2822,NA,3323,NA,3323,-0.115859163,-0.150767379,0,0
TENZIN Sangay,Men's 100m Freestyle,2938,2822,NA,3477,NA,3477,-0.155018694,-0.188380788,0,0
IBRAHIM Mubal Azzam,Men's 100m Freestyle,2938,2822,NA,3517,NA,3517,-0.164628945,-0.197611601,0,0
IRO Edgar Richardson,Men's 100m Freestyle,2938,2822,NA,3613,NA,3613,-0.186825353,-0.218931636,0,0
ROSAFIO Danilo,Men's 100m Freestyle,2938,2822,NA,3174,NA,3174,-0.074354127,-0.110901071,0,0
STEPHENS Jagger,Men's 100m Freestyle,2938,2822,NA,3192,NA,3192,-0.079573935,-0.115914787,0,0
FELIX Delron,Men's 100m Freestyle,2938,2822,NA,3219,NA,3219,-0.087294191,-0.123330227,0,0
MARQUET Mathieu,Men's 100m Freestyle,2938,2822,NA,3236,NA,3236,-0.092088999,-0.127935723,0,0
RADULOVIC Bosko,Men's 100m Freestyle,2938,2822,NA,3240,NA,3240,-0.093209877,-0.129012346,0,0
TARIQ Syed Muhammad Haseeb,Men's 100m Freestyle,2938,2822,NA,3261,NA,3261,-0.099049371,-0.134621282,0,0
AMBALA Atuhaire Ogola,Men's 100m Freestyle,2938,2822,NA,3263,NA,3263,-0.099601594,-0.135151701,0,0
GANIRA Belly-Cresus,Men's 100m Freestyle,2938,2822,NA,3273,NA,3273,-0.102352582,-0.137794073,0,0
AL-YAMANI Mokhtar,Men's 100m Freestyle,2938,2822,NA,3052,NA,3052,-0.037352556,-0.075360419,0,0
CHETCUTI Andrew,Men's 100m Freestyle,2938,2822,NA,3107,NA,3107,-0.054393305,-0.091728355,0,0
ALMATROOSHI Yousuf,Men's 100m Freestyle,2938,2822,NA,3110,NA,3110,-0.055305466,-0.092604502,0,0
MITCHELL Stefano,Men's 100m Freestyle,2938,2822,NA,3124,NA,3124,-0.059539052,-0.096670935,0,0
KADIU Kledi,Men's 100m Freestyle,2938,2822,NA,3125,NA,3125,-0.05984,-0.09696,0,0
AL ADAWI Issa Samir Hamed,Men's 100m Freestyle,2938,2822,NA,3141,NA,3141,-0.064629099,-0.101560013,0,0
ZEPHIR Jean-Luc,Men's 100m Freestyle,2938,2822,NA,3154,NA,3154,-0.068484464,-0.105263158,0,0
MENA Miguel,Men's 100m Freestyle,2938,2822,NA,3159,NA,3159,-0.069958848,-0.106679329,0,0
HO Ian Yentou,Men's 100m Freestyle,2938,2822,NA,2989,NA,2989,-0.017062563,-0.055871529,0,0
BARSEGHYAN Artur,Men's 100m Freestyle,2938,2822,NA,3018,NA,3018,-0.026507621,-0.064943671,0,0
ANTONIOU Nikolas,Men's 100m Freestyle,2938,2822,NA,3000,NA,3000,-0.020666667,-0.059333333,0,0
TURSUNOV Khurshidjon,Men's 100m Freestyle,2938,2822,NA,3014,NA,3014,-0.02521566,-0.063702721,0,0
WETZLAR Peter,Men's 100m Freestyle,2938,2822,NA,3031,NA,3031,-0.030682943,-0.068954141,0,0
BOUTOUIL Samy,Men's 100m Freestyle,2938,2822,NA,3037,NA,3037,-0.032597959,-0.070793546,0,0
LIUKKONEN Ari-Pekka,Men's 100m Freestyle,2938,2822,NA,3048,NA,3048,-0.036089239,-0.074146982,0,0
ABEYSINGHE Matthew,Men's 100m Freestyle,2938,2822,NA,3062,NA,3062,-0.040496408,-0.078380144,0,0
MILJENIC Nikola,Men's 100m Freestyle,2938,2822,NA,2965,NA,2965,-0.009106239,-0.048229342,0,0
KHALAFALLA Ali,Men's 100m Freestyle,2938,2822,NA,2971,NA,2971,-0.011107371,-0.050151464,0,0
SCHREUDERS Mikel,Men's 100m Freestyle,2938,2822,NA,2971,NA,2971,-0.011107371,-0.050151464,0,0
MESTRE Alberto,Men's 100m Freestyle,2938,2822,NA,2984,NA,2984,-0.01541555,-0.054289544,0,0
GEBBIE Luke,Men's 100m Freestyle,2938,2822,NA,3004,NA,3004,-0.021970706,-0.060585885,0,0
SCHOOLING Joseph,Men's 100m Freestyle,2938,2822,NA,3024,NA,3024,-0.028439153,-0.066798942,0,0
HOCKIN Benjamin,Men's 100m Freestyle,2938,2822,NA,3041,NA,3041,-0.033870437,-0.072015784,0,0
MURATOVIC Emir,Men's 100m Freestyle,2938,2822,NA,3043,NA,3043,-0.034505422,-0.072625698,0,0
WHITTLE Jacob,Men's 100m Freestyle,2938,2822,NA,2924,2891,2907.5,0.010490112,-0.029406707,0,1
PIJNENBURG Stan,Men's 100m Freestyle,2938,2822,NA,2933,NA,2933,0.001704739,-0.03784521,0,1
CARTER Dylan,Men's 100m Freestyle,2938,2822,NA,2946,NA,2946,-0.002715547,-0.042090971,0,0
WIERLING Damian,Men's 100m Freestyle,2938,2822,NA,2963,NA,2963,-0.008437395,-0.047586905,0,0
HANSON Robin,Men's 100m Freestyle,2938,2822,NA,2947,NA,2947,-0.003053953,-0.042416016,0,0
CHERUTI Meiron Amir,Men's 100m Freestyle,2938,2822,NA,2966,NA,2966,-0.009440324,-0.048550236,0,0
SANTOS Gabriel,Men's 100m Freestyle,2938,2822,NA,2973,NA,2973,-0.01177262,-0.050790447,0,0
SAHNOUNE Oussama,Men's 100m Freestyle,2938,2822,NA,3005,NA,3005,-0.022296173,-0.060898502,0,0
APPLE Zach,Men's 100m Freestyle,2938,2822,NA,2896,2884,2890,0.016608997,-0.023529412,0,1
LIENDO EDWARDS Joshua,Men's 100m Freestyle,2938,2822,NA,2914,2899,2906.5,0.010837777,-0.029072768,0,1
MITYUKOV Roman,Men's 100m Freestyle,2938,2822,NA,2923,2933,2928,0.003415301,-0.036202186,0,1
CHRISTOU Apostolos,Men's 100m Freestyle,2938,2822,NA,2930,NA,2930,0.002730375,-0.036860068,0,1
SZABO Szebasztian,Men's 100m Freestyle,2938,2822,NA,2931,NA,2931,0.002388263,-0.037188673,0,1
METELLA Mehdy,Men's 100m Freestyle,2938,2822,NA,2948,NA,2948,-0.00339213,-0.042740841,0,0
MINAKOV Andrei,Men's 100m Freestyle,2938,2822,NA,2880,2883,2881.5,0.019607843,-0.020648968,0,1
KISIL Yuri,Men's 100m Freestyle,2938,2822,NA,2895,2911,2903,0.012056493,-0.02790217,0,1
BARNA Andrej,Men's 100m Freestyle,2938,2822,NA,2910,2914,2912,0.008928571,-0.030906593,0,1
HE Junyi,Men's 100m Freestyle,2938,2822,NA,2930,NA,2930,0.002730375,-0.036860068,0,1
SPAJARI Pedro,Men's 100m Freestyle,2938,2822,NA,2954,NA,2954,-0.005416385,-0.044685173,0,0
CECCON Thomas,Men's 100m Freestyle,2938,2822,NA,2891,2885,2888,0.017313019,-0.022853186,0,1
NAKAMURA Katsumi,Men's 100m Freestyle,2938,2822,NA,2928,NA,2928,0.003415301,-0.036202186,0,1
McEVOY Cameron,Men's 100m Freestyle,2938,2822,NA,2952,NA,2952,-0.004742547,-0.04403794,0,0
SHEVTSOV Serhii,Men's 100m Freestyle,2938,2822,NA,2995,NA,2995,-0.01903172,-0.057762938,0,0
FINKE Robert,Men's 1500m Freestyle,54350,52260,52805,53240,NA,53022.5,0.025036541,-0.014380687,1,1
ROMANCHUK Mykhailo,Men's 1500m Freestyle,54350,52260,52866,53199,NA,53032.5,0.024843256,-0.014566539,1,1
WELLBROCK Florian,Men's 1500m Freestyle,54350,52260,52891,53333,NA,53112,0.023309233,-0.016041573,1,1
PALTRINIERI Gregorio,Men's 1500m Freestyle,54350,52260,53101,53357,NA,53229,0.021059949,-0.018204362,0,1
JERVIS Daniel,Men's 1500m Freestyle,54350,52260,53748,53422,NA,53585,0.014276383,-0.024727069,0,1
MARTYNYCHEV Kirill,Men's 1500m Freestyle,54350,52260,53785,53586,NA,53685.5,0.012377644,-0.026552794,0,1
AUBOECK Felix,Men's 1500m Freestyle,54350,52260,54227,53548,NA,53887.5,0.008582695,-0.030201809,0,1
FROLOV Serhii,Men's 1500m Freestyle,54350,52260,54266,53543,NA,53904.5,0.008264616,-0.030507657,0,1
WIFFEN Daniel,Men's 1500m Freestyle,54350,52260,NA,54489,NA,54489,-0.002550974,-0.040907339,0,0
ACOSTA Marcelo,Men's 1500m Freestyle,54350,52260,NA,55657,NA,55657,-0.02348312,-0.061034551,0,0
PRAWIRA Aflah,Men's 1500m Freestyle,54350,52260,NA,55834,NA,55834,-0.026578787,-0.064011176,0,0
DRUENNE Theo,Men's 1500m Freestyle,54350,52260,NA,58640,NA,58640,-0.073158254,-0.108799454,0,0
GYURTA Gergely,Men's 1500m Freestyle,54350,52260,NA,54145,NA,54145,0.00378613,-0.034813926,0,1
NEILL Thomas,Men's 1500m Freestyle,54350,52260,NA,54305,NA,54305,0.000828653,-0.037657674,0,1
BRINEGAR Michael,Men's 1500m Freestyle,54350,52260,NA,54307,NA,54307,0.000791795,-0.037693115,0,1
JOHANSSON Victor,Men's 1500m Freestyle,54350,52260,NA,54353,NA,54353,-5.52E-05,-0.038507534,0,0
KALMAR Akos,Men's 1500m Freestyle,54350,52260,NA,55022,NA,55022,-0.012213296,-0.050198103,0,0
CHENG Long,Men's 1500m Freestyle,54350,52260,NA,55151,NA,55151,-0.014523762,-0.05241972,0,0
ACERENZA Domenico,Men's 1500m Freestyle,54350,52260,NA,53664,NA,53664,0.012783244,-0.026162791,0,1
NGUYEN Huy Hoang,Men's 1500m Freestyle,54350,52260,NA,54024,NA,54024,0.006034355,-0.032652155,0,1
IPSEN Anton,Men's 1500m Freestyle,54350,52260,NA,54118,NA,54118,0.004286929,-0.034332385,0,1
