Name,Event,Final,Heat,Semi,Podium,AvgTime
CARINI Giacomo,Men's 200m Butterfly,NA,115.33,115.95,0,115.64
CHMIELEWSKI Krzysztof,Men's 200m Butterfly,115.88,115.77,115.29,0,115.53
KUDASHEV Aleksandr,Men's 200m Butterfly,NA,115.54,115.51,0,115.525
le CLOS Chad,Men's 200m Butterfly,114.93,115.96,115.06,0,115.51
SETO Daiya,Men's 200m Butterfly,NA,115.26,115.5,0,115.38
BENTZ Gunnar,Men's 200m Butterfly,115.46,115.46,115.28,0,115.37
TITMUS Ariarne,Women's 200m Freestyle,113.5,115.88,114.82,1,115.35
LEDECKY Kathleen,Women's 200m Freestyle,115.21,115.28,115.34,0,115.31
RYLOV Evgeny,Men's 200m Backstroke,113.27,116.02,114.45,1,115.235
PONTI Noe,Men's 200m Butterfly,NA,115.05,115.37,0,115.21
HONDA Tomoru,Men's 200m Butterfly,113.73,115.1,115.31,1,115.205
KENDERESI Tamas,Men's 200m Butterfly,114.52,115.18,115.17,0,115.175
HARTING Zach,Men's 200m Butterfly,NA,114.92,115.35,0,115.135
BURDISSO Federico,Men's 200m Butterfly,114.45,115.14,115.11,1,115.125
WANG Kuan-Hung,Men's 200m Butterfly,NA,114.44,115.52,0,114.98
de DEUS Leonardo,Men's 200m Butterfly,115.19,114.83,114.97,0,114.9
GREENBANK Luke,Men's 200m Backstroke,114.72,114.63,114.98,1,114.805
MILAK Kristof,Men's 200m Butterfly,111.25,113.58,112.22,1,112.9
STJEPANOVIC Velimir,Men's 200m Freestyle,NA,106.26,107.62,0,106.94
di COLA Stefano,Men's 200m Freestyle,NA,106.67,107.19,0,106.93
NEMETH Nandor,Men's 200m Freestyle,NA,106.19,107.2,0,106.695
ZIRK Kregor,Men's 200m Freestyle,NA,106.1,106.67,0,106.385
DJAKOVIC Antonio,Men's 200m Freestyle,NA,106.37,105.92,0,106.145
HAAS Townley,Men's 200m Freestyle,NA,105.86,106.07,0,105.965
BALLO Stefano,Men's 200m Freestyle,NA,105.8,105.84,0,105.82
NEILL Thomas,Men's 200m Freestyle,NA,105.81,105.74,0,105.775
SMITH Kieran,Men's 200m Freestyle,105.12,106.2,105.07,0,105.635
RAPSYS Danas,Men's 200m Freestyle,105.78,105.84,105.32,0,105.58
POPOVICI David,Men's 200m Freestyle,104.68,105.32,105.68,0,105.5
MALYUTIN Martin,Men's 200m Freestyle,105.01,105.5,105.45,0,105.475
SCHEFFER Fernando,Men's 200m Freestyle,104.66,105.05,105.71,1,105.38
DEAN Tom,Men's 200m Freestyle,104.22,105.24,105.34,1,105.29
HWANG Sunwoo,Men's 200m Freestyle,105.26,104.62,105.53,0,105.075
SCOTT Duncan,Men's 200m Freestyle,104.26,105.37,104.6,1,104.985
JEFIMOVA Eneli,Women's 100m Breaststroke,NA,66.79,67.58,0,67.185
ELENDT Anna Charlott Darcel,Women's 100m Breaststroke,NA,66.96,67.31,0,67.135
TETEREVKOVA Kotryna,Women's 100m Breaststroke,NA,66.82,67.39,0,67.105
MAMIE Lisa,Women's 100m Breaststroke,NA,66.76,67.41,0,67.085
VASEY Sarah,Women's 100m Breaststroke,NA,66.61,66.87,0,66.74
HODGES Chelsea,Women's 100m Breaststroke,NA,66.7,66.6,0,66.65
HULKKO Ida,Women's 100m Breaststroke,NA,66.19,67.02,0,66.605
TANG Qianting,Women's 100m Breaststroke,NA,66.47,66.63,0,66.55
Mc SHARRY Mona,Women's 100m Breaststroke,66.94,66.39,66.59,0,66.49
CHIKUNOVA Evgeniia,Women's 100m Breaststroke,65.9,66.16,66.47,0,66.315
EFIMOVA Yuliya,Women's 100m Breaststroke,66.02,66.21,66.34,0,66.275
CARRARO Martina,Women's 100m Breaststroke,66.19,65.85,66.5,0,66.175
HANSSON Sophie,Women's 100m Breaststroke,66.07,65.66,65.81,0,65.735
JACOBY Lydia,Women's 100m Breaststroke,64.95,65.52,65.72,1,65.62
KING Lilly,Women's 100m Breaststroke,65.54,65.55,65.4,1,65.475
SCHOENMAKER Tatjana,Women's 100m Breaststroke,65.22,64.82,65.07,1,64.945
de WAARD Maaike,Women's 100m Backstroke,NA,60.03,60.49,0,60.26
KONISHI Anna,Women's 100m Backstroke,NA,60.04,60.07,0,60.055
ATAYEV Merdan,Men's 100m Backstroke,NA,3324,NA,0,3324
CASTILLO Gabriel,Men's 100m Backstroke,NA,3504,NA,0,3504
RASOLONJATOVO Heriniavo,Men's 100m Backstroke,NA,3621,NA,0,3621
STOKOWSKI Kacper,Men's 100m Backstroke,NA,3279,NA,0,3279
SANTOS Francisco Rogerio,Men's 100m Backstroke,NA,3275,NA,0,3275
CEJKA Jan,Men's 100m Backstroke,NA,3309,NA,0,3309
CARTER Dylan,Men's 100m Backstroke,NA,3322,NA,0,3322
LAITAROVSKY Michael,Men's 100m Backstroke,NA,3334,NA,0,3334
LEVTEROV Kaloyan,Men's 100m Backstroke,NA,3360,NA,0,3360
BASSETO Guilherme,Men's 100m Backstroke,NA,3264,NA,0,3264
QUAH Zheng Wen,Men's 100m Backstroke,NA,3274,NA,0,3274
BRAUNSCHWEIG Ole,Men's 100m Backstroke,NA,3254,NA,0,3254
NATARAJ Srihari,Men's 100m Backstroke,NA,3271,NA,0,3271
TOUMARKIN Yakov,Men's 100m Backstroke,NA,3321,NA,0,3321
TSMYH Mikita,Men's 100m Backstroke,NA,3328,NA,0,3328
REITSHAMMER Bernhard,Men's 100m Backstroke,NA,3326,NA,0,3326
GREENBANK Luke,Men's 100m Backstroke,NA,3259,NA,0,3259
TELEGDY Adam,Men's 100m Backstroke,NA,3282,NA,0,3282
MARTIN Daniel,Men's 100m Backstroke,NA,3451,NA,0,3451
SABBIONI Simone,Men's 100m Backstroke,NA,3259,NA,0,3259
LEE Juho,Men's 100m Backstroke,NA,3264,NA,0,3264
COETZE Pieter,Men's 100m Backstroke,NA,3245,NA,0,3245
NDOYE-BROUARD Yohann,Men's 100m Backstroke,NA,3193,NA,0,3193
THORMEYER Markus,Men's 100m Backstroke,NA,3260,NA,0,3260
PRATT Cole,Men's 100m Backstroke,NA,3267,NA,0,3267
MASEI Micah,Men's 100m Breaststroke,NA,64.93,NA,0,64.93
AHMAD Muhammad Isa,Men's 100m Breaststroke,NA,68.65,NA,0,68.65
DESPLANCHES Jeremy,Men's 100m Breaststroke,NA,60.29,NA,0,60.29
AL-WIR Amro,Men's 100m Breaststroke,NA,62.17,NA,0,62.17
SANES Adriel,Men's 100m Breaststroke,NA,62.43,NA,0,62.43
HORREGO Julio,Men's 100m Breaststroke,NA,62.45,NA,0,62.45
KOUMA Sebastien,Men's 100m Breaststroke,NA,62.84,NA,0,62.84
ABASS Abobakr,Men's 100m Breaststroke,NA,64.46,NA,0,64.46
MATTSSON Matti,Men's 100m Breaststroke,NA,60.02,NA,0,60.02
REITSHAMMER Bernhard,Men's 100m Breaststroke,NA,60.41,NA,0,60.41
MURILLO VALDES Jorge,Men's 100m Breaststroke,NA,60.62,NA,0,60.62
EPITROPOV Lyubomir,Men's 100m Breaststroke,NA,60.71,NA,0,60.71
GRINDHEIM Andre Klippenberg,Men's 100m Breaststroke,NA,60.86,NA,0,60.86
MASTROMATTEO Gabe,Men's 100m Breaststroke,NA,61.56,NA,0,61.56
DOMINGUEZ RAMOS Josue,Men's 100m Breaststroke,NA,61.86,NA,0,61.86
BASTIAN Izaak,Men's 100m Breaststroke,NA,61.87,NA,0,61.87
CHO Sungjae,Men's 100m Breaststroke,NA,3639,NA,0,3639
STUBBLETY-COOK Izaac,Men's 100m Breaststroke,NA,60.05,NA,0,60.05
PETRASHOV Denis,Men's 100m Breaststroke,NA,60.23,NA,0,60.23
GREENE Darragh,Men's 100m Breaststroke,NA,60.3,NA,0,60.3
BUSSIERE Theo,Men's 100m Breaststroke,NA,60.75,NA,0,60.75
PUMPUTIS Caio,Men's 100m Breaststroke,NA,60.76,NA,0,60.76
TITENIS Giedrius,Men's 100m Breaststroke,NA,60.92,NA,0,60.92
HOULIE Michael,Men's 100m Breaststroke,NA,61.22,NA,0,61.22
BALANDIN Dmitriy,Men's 100m Breaststroke,NA,3615,NA,0,3615
CORBEAU Caspar,Men's 100m Breaststroke,NA,60.13,NA,0,60.13
OGRETIR Berkay,Men's 100m Breaststroke,NA,3622,NA,0,3622
WILSON Matthew,Men's 100m Breaststroke,NA,60.03,NA,0,60.03
SILADI Caba,Men's 100m Breaststroke,NA,60.19,NA,0,60.19
SAKCI Huseyin,Men's 100m Breaststroke,NA,3627,NA,0,3627
SATO Shoma,Men's 100m Breaststroke,NA,60.04,NA,0,60.04
GORDO Salvador,Men's 100m Butterfly,NA,3396,NA,0,3396
BU ARISH Yousif,Men's 100m Butterfly,NA,3389,NA,0,3389
JACKSON Abeku,Men's 100m Butterfly,NA,3219,NA,0,3219
PRAKASH Sajan,Men's 100m Butterfly,NA,3225,NA,0,3225
MOON Seungwoo,Men's 100m Butterfly,NA,3239,NA,0,3239
QALI Abbas,Men's 100m Butterfly,NA,3242,NA,0,3242
AIMABLE Steven,Men's 100m Butterfly,NA,3244,NA,0,3244
WONGCHAROEN Navaphat,Men's 100m Butterfly,NA,3276,NA,0,3276
HOCKIN Benjamin,Men's 100m Butterfly,NA,3321,NA,0,3321
VINCENT Davidson,Men's 100m Butterfly,NA,3321,NA,0,3321
HVAS Tomoe,Men's 100m Butterfly,NA,3142,NA,0,3142
CARTER Dylan,Men's 100m Butterfly,NA,3156,NA,0,3156
WANG Kuan-Hung,Men's 100m Butterfly,NA,3164,NA,0,3164
RYAN Shane,Men's 100m Butterfly,NA,3172,NA,0,3172
MILJENIC Nikola,Men's 100m Butterfly,NA,3188,NA,0,3188
ZIRK Kregor,Men's 100m Butterfly,NA,3202,NA,0,3202
MARTIN Daniel,Men's 100m Butterfly,NA,3309,NA,0,3309
GRASSI Santiago,Men's 100m Butterfly,NA,3127,NA,0,3127
CROENEN Louis,Men's 100m Butterfly,NA,3143,NA,0,3143
IVANOV Antani,Men's 100m Butterfly,NA,3145,NA,0,3145
QUAH Zheng Wen,Men's 100m Butterfly,NA,3159,NA,0,3159
GURES Umit Can,Men's 100m Butterfly,NA,3164,NA,0,3164
SEFL Jan,Men's 100m Butterfly,NA,3172,NA,0,3172
GONCHE Matheus,Men's 100m Butterfly,NA,3182,NA,0,3182
FRANKEL Tomer,Men's 100m Butterfly,NA,3159,NA,0,3159
SATES Matthew,Men's 100m Butterfly,NA,3154,NA,0,3154
BUCHER Simon,Men's 100m Butterfly,NA,3172,NA,0,3172
TSURKIN Yauhen,Men's 100m Butterfly,NA,3210,NA,0,3210
SCHOOLING Joseph,Men's 100m Butterfly,NA,3192,NA,0,3192
BURDISSO Federico,Men's 100m Butterfly,NA,3142,NA,0,3142
le CLOS Chad,Men's 100m Butterfly,NA,3149,NA,0,3149
